,epsilon,a3,Barrier,Sh.Cor,Eldm,dU(N),dU(P),dP(N),dP(P),BC,BS
10205,-0.1,0.089,17.9421,4.4799,13.462,2.42,3.434,-0.178,-1.196,0.993,1.033
10275,0.678,0.089,14.6011,-0.7198,15.321,-0.812,-0.245,-0.044,0.38,0.91,1.169
10273,0.678,0.044,16.8132,2.3667,14.446,1.475,1.249,-0.157,-0.2,0.91,1.167
10225,0.122,0.089,17.3387,5.1892,12.15,3.611,3.036,-0.918,-0.54,0.992,1.033
10223,0.122,0.044,18.2844,7.2417,11.043,5.342,4.743,-1.656,-1.187,0.993,1.029
10255,0.456,0.089,16.5882,1.6752,14.913,0.557,0.301,0.368,0.45,0.962,1.084
10276,0.678,0.111,15.0431,-0.9228,15.966,-1.404,-0.029,0.141,0.37,0.909,1.171
10235,0.233,0.089,18.0644,5.3439,12.72,3.507,3.601,-0.887,-0.878,0.987,1.042
10241,0.344,0.0,8.4075,-4.0692,12.477,-1.953,-2.954,0.006,0.831,0.979,1.055
10281,0.789,0.0,14.3494,2.888,11.461,5.792,-0.727,-2.439,0.261,0.866,1.233
10271,0.678,0.0,19.1135,4.9622,14.151,5.307,2.342,-2.107,-0.58,0.91,1.166
10264,0.567,0.067,16.1103,0.9152,15.195,1.337,0.556,-0.665,-0.313,0.941,1.119
10231,0.233,0.0,17.9558,6.6046,11.351,3.613,4.426,-0.514,-0.92,0.988,1.038
10292,0.9,0.022,-21.2253,-2.4793,-18.746,-3.555,-0.042,0.792,0.326,0.808,1.276
10263,0.567,0.044,15.738,0.9058,14.832,1.319,0.598,-0.381,-0.63,0.942,1.117
10252,0.456,0.022,10.3892,-3.3965,13.786,-2.491,-2.347,0.776,0.666,0.964,1.08
10293,0.9,0.044,-20.3241,-1.9627,-18.361,-1.517,-1.046,0.061,0.539,0.808,1.276
10230,0.122,0.2,18.7426,0.849,17.894,0.724,0.02,-0.143,0.248,0.987,1.051
10238,0.233,0.155,18.5462,3.0818,15.464,2.405,2.248,-0.986,-0.586,0.984,1.051
10221,0.122,0.0,18.7541,8.0834,10.671,5.886,5.442,-1.805,-1.44,0.993,1.028
10207,-0.1,0.133,20.2294,4.5554,15.674,2.891,3.692,-0.531,-1.496,0.991,1.04
10294,0.9,0.067,-18.4615,-0.7343,-17.727,-0.394,-0.747,0.201,0.206,0.808,1.276
10243,0.344,0.044,9.8407,-2.9583,12.799,-1.797,-2.053,0.278,0.614,0.978,1.056
10296,0.9,0.111,-12.6788,3.0797,-15.758,3.766,1.057,-1.714,-0.029,0.81,1.277
10206,-0.1,0.111,18.9961,4.5322,14.464,2.573,3.532,-0.285,-1.287,0.992,1.036
10254,0.456,0.067,14.035,-0.3545,14.39,-0.233,-1.008,0.203,0.684,0.963,1.083
10274,0.678,0.067,15.3873,0.5743,14.813,-0.029,0.451,0.082,0.07,0.91,1.168
10107,0.9,0.014,-21.34,,,,,,,,
4355,0.32999999999999996,0.024,9.3904,,,,,,,,
9346,0.8200000000000001,0.108,13.6643,,,,,,,,
5911,0.48,0.106,18.9044,,,,,,,,
5811,0.4700000000000001,0.108,18.9765,,,,,,,,
4855,0.38,0.014,7.85,,,,,,,,
10015,0.89,0.032,-15.3624,,,,,,,,
5764,0.4700000000000001,0.014,10.7467,,,,,,,,
8859,0.77,0.14400000000000002,15.1846,,,,,,,,
9553,0.8400000000000001,0.11800000000000001,14.5426,,,,,,,,
9744,0.86,0.096,9.6241,,,,,,,,
4862,0.38,0.028,8.4088,,,,,,,,
4260,0.31999999999999995,0.036000000000000004,10.3446,,,,,,,,
1314,0.03,0.002,14.6613,,,,,,,,
9593,0.8400000000000001,0.198,17.8525,,,,,,,,
1514,0.04000000000000001,0.2,20.4897,,,,,,,,
810,-0.020000000000000004,0.004,15.1951,,,,,,,,
503,-0.060000000000000005,0.198,23.9547,,,,,,,,
3636,0.26,0.0,15.2269,,,,,,,,
4599,0.35,0.108,15.6481,,,,,,,,
1317,0.03,0.008,14.6658,,,,,,,,
9503,0.8400000000000001,0.018000000000000002,3.8094,,,,,,,,
3337,0.23,0.008,18.2411,,,,,,,,
9681,0.8500000000000001,0.17200000000000001,16.3998,,,,,,,,
9611,0.8500000000000001,0.032,1.9492,,,,,,,,
3676,0.26,0.08,16.575,,,,,,,,
4468,0.33999999999999997,0.048,10.1768,,,,,,,,
3672,0.26,0.07200000000000001,16.3257,,,,,,,,
9675,0.8500000000000001,0.16,16.0525,,,,,,,,
2870,0.18000000000000002,0.084,18.762,,,,,,,,
4448,0.33999999999999997,0.008,8.617,,,,,,,,
3146,0.21,0.03,19.454,,,,,,,,
9754,0.86,0.116,11.8781,,,,,,,,
5469,0.44000000000000006,0.03,10.1465,,,,,,,,
9867,0.87,0.14,9.5451,,,,,,,,
2665,0.16,0.078,18.5217,,,,,,,,
3452,0.24000000000000002,0.036000000000000004,17.3987,,,,,,,,
9747,0.86,0.10200000000000001,10.4024,,,,,,,,
9868,0.87,0.14200000000000002,9.5929,,,,,,,,
7083,0.6000000000000001,0.026000000000000002,16.9056,,,,,,,,
2740,0.17,0.026000000000000002,19.9277,,,,,,,,
9208,0.81,0.034,9.9702,,,,,,,,
9960,0.88,0.124,3.4006,,,,,,,,
9521,0.8400000000000001,0.054,6.3789,,,,,,,,
9837,0.87,0.08,4.4655,,,,,,,,
9439,0.8300000000000001,0.092,11.7189,,,,,,,,
9088,0.79,0.198,17.9774,,,,,,,,
10194,0.9,0.188,-7.2424,,,,,,,,
924,-0.010000000000000009,0.03,15.028,,,,,,,,
1044,0.0,0.068,15.3506,,,,,,,,
7859,0.67,0.164,18.2576,,,,,,,,
961,-0.010000000000000009,0.10400000000000001,16.6807,,,,,,,,
10100,0.9,0.0,-21.4792,,,,,,,,
9323,0.8200000000000001,0.062,9.3276,,,,,,,,
1840,0.07999999999999999,0.044,16.4479,,,,,,,,
3291,0.22,0.11800000000000001,18.3152,,,,,,,,
3594,0.25,0.11800000000000001,17.9851,,,,,,,,
1238,0.01999999999999999,0.052000000000000005,14.8568,,,,,,,,
9985,0.88,0.17400000000000002,5.2188,,,,,,,,
1180,0.009999999999999995,0.138,17.6859,,,,,,,,
9690,0.8500000000000001,0.19,16.5436,,,,,,,,
767,-0.03,0.12,18.0303,,,,,,,,
10121,0.9,0.042,-20.5076,,,,,,,,
9401,0.8300000000000001,0.016,6.1614,,,,,,,,
6463,0.53,0.2,24.1489,,,,,,,,
1468,0.04000000000000001,0.108,16.0744,,,,,,,,
10016,0.89,0.034,-15.3245,,,,,,,,
9752,0.86,0.112,11.5139,,,,,,,,
9194,0.81,0.006,11.0902,,,,,,,,
9475,0.8300000000000001,0.164,17.4709,,,,,,,,
1571,0.04999999999999999,0.112,16.2219,,,,,,,,
10175,0.9,0.15,-8.0385,,,,,,,,
63,-0.1,0.126,19.8103,,,,,,,,
2498,0.13999999999999999,0.148,17.1016,,,,,,,,
3100,0.19999999999999998,0.14,18.1239,,,,,,,,
302,-0.08,0.2,24.5573,,,,,,,,
599,-0.05,0.188,22.9124,,,,,,,,
6771,0.5700000000000001,0.008,15.8641,,,,,,,,
8794,0.77,0.014,14.7907,,,,,,,,
9607,0.8500000000000001,0.024,1.5785,,,,,,,,
9654,0.8500000000000001,0.11800000000000001,15.557,,,,,,,,
3187,0.21,0.112,18.3972,,,,,,,,
7476,0.64,0.004,18.3962,,,,,,,,
4215,0.31000000000000005,0.148,18.9485,,,,,,,,
3377,0.23,0.088,18.1797,,,,,,,,
93,-0.1,0.186,23.7467,,,,,,,,
10134,0.9,0.068,-18.3667,,,,,,,,
4272,0.31999999999999995,0.06,11.6775,,,,,,,,
3733,0.26,0.194,19.8645,,,,,,,,
4336,0.31999999999999995,0.188,20.8882,,,,,,,,
8888,0.78,0.0,14.7525,,,,,,,,
9523,0.8400000000000001,0.058,6.8518,,,,,,,,
4023,0.29000000000000004,0.168,19.7169,,,,,,,,
9197,0.81,0.012,10.9555,,,,,,,,
881,-0.020000000000000004,0.146,19.0452,,,,,,,,
10162,0.9,0.124,-9.0057,,,,,,,,
6482,0.54,0.036000000000000004,14.9061,,,,,,,,
7516,0.64,0.084,15.029,,,,,,,,
2369,0.13,0.092,17.4429,,,,,,,,
8575,0.74,0.182,17.3624,,,,,,,,
8523,0.74,0.078,14.3515,,,,,,,,
8385,0.7300000000000001,0.004,16.5964,,,,,,,,
8725,0.76,0.078,13.4962,,,,,,,,
6182,0.51,0.042,14.1575,,,,,,,,
4382,0.32999999999999996,0.078,12.7437,,,,,,,,
9513,0.8400000000000001,0.038,5.0279,,,,,,,,
2830,0.18000000000000002,0.004,20.1838,,,,,,,,
2241,0.12,0.038,18.315,,,,,,,,
8406,0.7300000000000001,0.046,16.053,,,,,,,,
4097,0.30000000000000004,0.114,16.6264,,,,,,,,
10164,0.9,0.128,-8.6519,,,,,,,,
10118,0.9,0.036000000000000004,-21.0004,,,,,,,,
1959,0.09,0.08,16.6309,,,,,,,,
8052,0.6900000000000001,0.146,16.5001,,,,,,,,
8356,0.7200000000000001,0.148,16.2137,,,,,,,,
9887,0.87,0.18,10.3928,,,,,,,,
9902,0.88,0.008,-6.4885,,,,,,,,
10059,0.89,0.12,-6.5507,,,,,,,,
3059,0.19999999999999998,0.058,19.3687,,,,,,,,
9389,0.8200000000000001,0.194,18.2307,,,,,,,,
10004,0.89,0.01,-15.72,,,,,,,,
5649,0.45000000000000007,0.188,23.8289,,,,,,,,
5639,0.45000000000000007,0.168,23.1426,,,,,,,,
9200,0.81,0.018000000000000002,10.8691,,,,,,,,
10152,0.9,0.10400000000000001,-13.9126,,,,,,,,
9093,0.8,0.006,12.7076,,,,,,,,
9839,0.87,0.084,4.9846,,,,,,,,
8802,0.77,0.03,13.9062,,,,,,,,
9807,0.87,0.02,-2.8423,,,,,,,,
7780,0.67,0.006,19.0287,,,,,,,,
5235,0.41000000000000003,0.168,22.4446,,,,,,,,
5092,0.4,0.084,14.0404,,,,,,,,
5555,0.45000000000000007,0.0,9.6534,,,,,,,,
9205,0.81,0.028,10.6007,,,,,,,,
9403,0.8300000000000001,0.02,6.1434,,,,,,,,
5284,0.42000000000000004,0.064,12.3503,,,,,,,,
5482,0.44000000000000006,0.056,12.2922,,,,,,,,
2961,0.18999999999999997,0.064,19.3228,,,,,,,,
9976,0.88,0.156,5.2596,,,,,,,,
9920,0.88,0.044,-6.2959,,,,,,,,
9907,0.88,0.018000000000000002,-6.3587,,,,,,,,
2129,0.10999999999999999,0.016,18.1362,,,,,,,,
9971,0.88,0.146,4.1908,,,,,,,,
3864,0.28,0.052000000000000005,13.9809,,,,,,,,
10039,0.89,0.08,-12.0738,,,,,,,,
8515,0.74,0.062,14.6035,,,,,,,,
9760,0.86,0.128,12.6975,,,,,,,,
4261,0.31999999999999995,0.038,10.432,,,,,,,,
8403,0.7300000000000001,0.04,16.3646,,,,,,,,
1306,0.01999999999999999,0.188,20.3498,,,,,,,,
2150,0.10999999999999999,0.058,17.5778,,,,,,,,
4422,0.32999999999999996,0.158,19.8081,,,,,,,,
4219,0.31000000000000005,0.156,19.4137,,,,,,,,
4737,0.36,0.182,21.6571,,,,,,,,
2334,0.13,0.022,18.9361,,,,,,,,
2817,0.17,0.18,18.0419,,,,,,,,
3909,0.28,0.14200000000000002,18.571,,,,,,,,
2010,0.09,0.182,18.2503,,,,,,,,
2519,0.13999999999999999,0.19,18.2185,,,,,,,,
1453,0.04000000000000001,0.078,15.3716,,,,,,,,
2256,0.12,0.068,17.7171,,,,,,,,
9761,0.86,0.13,12.7999,,,,,,,,
2607,0.15,0.164,17.4592,,,,,,,,
604,-0.05,0.198,23.6346,,,,,,,,
1643,0.06,0.054,15.6095,,,,,,,,
9825,0.87,0.056,0.3439,,,,,,,,
2823,0.17,0.192,18.3932,,,,,,,,
10104,0.9,0.008,-21.5205,,,,,,,,
3897,0.28,0.11800000000000001,17.3974,,,,,,,,
9798,0.87,0.002,-2.1878,,,,,,,,
6092,0.5,0.064,15.3669,,,,,,,,
10149,0.9,0.098,-15.2935,,,,,,,,
9927,0.88,0.058,-4.5013,,,,,,,,
10027,0.89,0.056,-14.2996,,,,,,,,
4824,0.37,0.154,20.5287,,,,,,,,
4822,0.37,0.15,20.2341,,,,,,,,
10003,0.89,0.008,-16.3918,,,,,,,,
9700,0.86,0.008,-1.2713,,,,,,,,
4941,0.38,0.186,22.2859,,,,,,,,
9639,0.8500000000000001,0.088,10.4972,,,,,,,,
9853,0.87,0.112,7.9675,,,,,,,,
6039,0.49,0.16,23.0469,,,,,,,,
10097,0.89,0.196,-2.7112,,,,,,,,
9483,0.8300000000000001,0.18,17.7833,,,,,,,,
5128,0.4,0.156,21.5385,,,,,,,,
2085,0.1,0.13,16.7725,,,,,,,,
9886,0.87,0.178,10.3659,,,,,,,,
10032,0.89,0.066,-13.8004,,,,,,,,
9184,0.8,0.188,17.5853,,,,,,,,
7716,0.66,0.08,14.9588,,,,,,,,
9860,0.87,0.126,9.067,,,,,,,,
10079,0.89,0.16,-3.5829,,,,,,,,
9937,0.88,0.078,-1.7612,,,,,,,,
10183,0.9,0.166,-7.6538,,,,,,,,
7720,0.66,0.088,14.8428,,,,,,,,
9916,0.88,0.036000000000000004,-5.8326,,,,,,,,
10091,0.89,0.184,-2.9602,,,,,,,,
7005,0.5900000000000001,0.07200000000000001,16.0409,,,,,,,,
9597,0.8500000000000001,0.004,1.7239,,,,,,,,
9972,0.88,0.148,4.2384,,,,,,,,
6462,0.53,0.198,24.0833,,,,,,,,
6362,0.52,0.2,24.3263,,,,,,,,
9773,0.86,0.154,13.5542,,,,,,,,
6361,0.52,0.198,24.2714,,,,,,,,
10197,0.9,0.194,-7.3688,,,,,,,,
9881,0.87,0.168,9.7223,,,,,,,,
10054,0.89,0.11,-7.7094,,,,,,,,
10053,0.89,0.108,-7.9205,,,,,,,,
9905,0.88,0.014,-6.3972,,,,,,,,
9952,0.88,0.108,2.0753,,,,,,,,
9515,0.8400000000000001,0.042,5.2722,,,,,,,,
9946,0.88,0.096,0.8028,,,,,,,,
8991,0.79,0.004,14.2598,,,,,,,,
7705,0.66,0.058,15.9304,,,,,,,,
9495,0.8400000000000001,0.002,3.83,,,,,,,,
10013,0.89,0.028,-15.4173,,,,,,,,
10187,0.9,0.17400000000000002,-7.4929,,,,,,,,
10099,0.89,0.2,-2.5895,,,,,,,,
9619,0.8500000000000001,0.048,4.5154,,,,,,,,
4088,0.30000000000000004,0.096,15.2426,,,,,,,,
6404,0.53,0.082,17.0262,,,,,,,,
9417,0.8300000000000001,0.048,7.1185,,,,,,,,
3648,0.26,0.024,15.3377,,,,,,,,
9154,0.8,0.128,14.5942,,,,,,,,
8870,0.77,0.166,16.8276,,,,,,,,
3867,0.28,0.058,14.2173,,,,,,,,
2547,0.15,0.044,19.1807,,,,,,,,
2330,0.13,0.014,19.0146,,,,,,,,
3031,0.19999999999999998,0.002,19.9584,,,,,,,,
9164,0.8,0.148,15.7779,,,,,,,,
9259,0.81,0.136,15.1243,,,,,,,,
7006,0.5900000000000001,0.074,15.5635,,,,,,,,
9832,0.87,0.07,2.5919,,,,,,,,
9818,0.87,0.042,-1.1881,,,,,,,,
9847,0.87,0.1,6.8737,,,,,,,,
9951,0.88,0.106,1.8784,,,,,,,,
9932,0.88,0.068,-3.0388,,,,,,,,
9858,0.87,0.122,8.8526,,,,,,,,
10157,0.9,0.114,-12.411,,,,,,,,
7865,0.67,0.176,18.303,,,,,,,,
9640,0.8500000000000001,0.09,10.7996,,,,,,,,
10008,0.89,0.018000000000000002,-15.7121,,,,,,,,
10046,0.89,0.094,-9.085,,,,,,,,
9969,0.88,0.14200000000000002,4.0868,,,,,,,,
10070,0.89,0.14200000000000002,-4.0177,,,,,,,,
10156,0.9,0.112,-12.615,,,,,,,,
9304,0.8200000000000001,0.024,7.6098,,,,,,,,
10094,0.89,0.19,-2.9253,,,,,,,,
9849,0.87,0.10400000000000001,7.2752,,,,,,,,
9632,0.8500000000000001,0.074,8.4034,,,,,,,,
9903,0.88,0.01,-6.4641,,,,,,,,
9536,0.8400000000000001,0.084,10.7132,,,,,,,,
10068,0.89,0.138,-4.1494,,,,,,,,
9697,0.86,0.002,-1.3139,,,,,,,,
8181,0.7100000000000001,0.0,19.0019,,,,,,,,
10158,0.9,0.116,-11.3333,,,,,,,,
10115,0.9,0.03,-21.1613,,,,,,,,
9696,0.86,0.0,-1.3167,,,,,,,,
9940,0.88,0.084,-0.6245,,,,,,,,
10073,0.89,0.148,-3.8804,,,,,,,,
2226,0.12,0.008,18.6422,,,,,,,,
2041,0.1,0.042,17.3975,,,,,,,,
9919,0.88,0.042,-6.4154,,,,,,,,
10048,0.89,0.098,-8.6927,,,,,,,,
1616,0.06,0.0,15.5806,,,,,,,,
9824,0.87,0.054,0.0861,,,,,,,,
2026,0.1,0.012,17.6538,,,,,,,,
9581,0.8400000000000001,0.17400000000000002,17.2302,,,,,,,,
9726,0.86,0.06,3.6102,,,,,,,,
9695,0.8500000000000001,0.2,16.2676,,,,,,,,
10022,0.89,0.046,-14.9734,,,,,,,,
10043,0.89,0.088,-11.1332,,,,,,,,
10098,0.89,0.198,-2.6515,,,,,,,,
7478,0.64,0.008,18.3454,,,,,,,,
9983,0.88,0.17,5.2139,,,,,,,,
6180,0.51,0.038,13.9314,,,,,,,,
9924,0.88,0.052000000000000005,-5.7059,,,,,,,,
10084,0.89,0.17,-3.4702,,,,,,,,
6183,0.51,0.044,14.2757,,,,,,,,
9999,0.89,0.0,-15.7965,,,,,,,,
6412,0.53,0.098,18.0391,,,,,,,,
9889,0.87,0.184,10.4529,,,,,,,,
8283,0.7200000000000001,0.002,17.9829,,,,,,,,
7423,0.63,0.1,15.3108,,,,,,,,
9152,0.8,0.124,14.4032,,,,,,,,
7424,0.63,0.10200000000000001,15.3655,,,,,,,,
9895,0.87,0.196,10.6968,,,,,,,,
6513,0.54,0.098,17.8015,,,,,,,,
9605,0.8500000000000001,0.02,1.9094,,,,,,,,
7290,0.62,0.036000000000000004,16.8306,,,,,,,,
8926,0.78,0.076,12.5889,,,,,,,,
3030,0.19999999999999998,0.0,19.9592,,,,,,,,
9911,0.88,0.026000000000000002,-6.0778,,,,,,,,
9982,0.88,0.168,5.2142,,,,,,,,
10147,0.9,0.094,-16.0667,,,,,,,,
8124,0.7000000000000001,0.088,15.2108,,,,,,,,
10150,0.9,0.1,-15.0596,,,,,,,,
8936,0.78,0.096,13.3232,,,,,,,,
1329,0.03,0.032,14.7434,,,,,,,,
7279,0.62,0.014,17.8656,,,,,,,,
9530,0.8400000000000001,0.07200000000000001,8.6872,,,,,,,,
8081,0.7000000000000001,0.002,19.0419,,,,,,,,
5723,0.4600000000000001,0.134,21.1933,,,,,,,,
4985,0.39,0.07200000000000001,12.3045,,,,,,,,
3834,0.27,0.194,20.1047,,,,,,,,
9742,0.86,0.092,8.5653,,,,,,,,
5829,0.4700000000000001,0.14400000000000002,21.9903,,,,,,,,
4686,0.36,0.08,12.7204,,,,,,,,
5734,0.4600000000000001,0.156,22.6367,,,,,,,,
4884,0.38,0.07200000000000001,12.1045,,,,,,,,
10002,0.89,0.006,-16.4407,,,,,,,,
9091,0.8,0.002,11.9578,,,,,,,,
10065,0.89,0.132,-5.6749,,,,,,,,
10081,0.89,0.164,-3.5448,,,,,,,,
9931,0.88,0.066,-3.2942,,,,,,,,
10200,0.9,0.2,-7.2675,,,,,,,,
4848,0.38,0.0,7.6594,,,,,,,,
9650,0.8500000000000001,0.11,14.8632,,,,,,,,
9090,0.8,0.0,11.9634,,,,,,,,
8288,0.7200000000000001,0.012,18.0284,,,,,,,,
10093,0.89,0.188,-2.9744,,,,,,,,
8893,0.78,0.01,14.582,,,,,,,,
8491,0.74,0.014,16.3718,,,,,,,,
7575,0.65,0.0,18.7422,,,,,,,,
8493,0.74,0.018000000000000002,16.2457,,,,,,,,
9908,0.88,0.02,-6.2946,,,,,,,,
9785,0.86,0.178,14.4898,,,,,,,,
6669,0.56,0.006,15.406,,,,,,,,
9958,0.88,0.12,3.1143,,,,,,,,
9795,0.86,0.198,14.2454,,,,,,,,
10040,0.89,0.082,-11.831,,,,,,,,
10057,0.89,0.116,-6.9391,,,,,,,,
9959,0.88,0.122,3.2617,,,,,,,,
9915,0.88,0.034,-5.8821,,,,,,,,
10062,0.89,0.126,-6.1031,,,,,,,,
9103,0.8,0.026000000000000002,11.6956,,,,,,,,
10196,0.9,0.192,-7.1659,,,,,,,,
411,-0.060000000000000005,0.014,16.4846,,,,,,,,
9338,0.8200000000000001,0.092,11.5789,,,,,,,,
515,-0.05,0.02,16.2822,,,,,,,,
10076,0.89,0.154,-3.636,,,,,,,,
10192,0.9,0.184,-7.3143,,,,,,,,
10012,0.89,0.026000000000000002,-15.672,,,,,,,,
10066,0.89,0.134,-4.418,,,,,,,,
8289,0.7200000000000001,0.014,17.9686,,,,,,,,
10172,0.9,0.14400000000000002,-8.2329,,,,,,,,
10161,0.9,0.122,-10.6979,,,,,,,,
10042,0.89,0.08600000000000001,-11.3618,,,,,,,,
9191,0.81,0.0,11.1329,,,,,,,,
10001,0.89,0.004,-16.4844,,,,,,,,
9397,0.8300000000000001,0.008,5.295,,,,,,,,
10167,0.9,0.134,-8.4151,,,,,,,,
10180,0.9,0.16,-7.7846,,,,,,,,
9939,0.88,0.082,-0.8673,,,,,,,,
9399,0.8300000000000001,0.012,5.8624,,,,,,,,
5276,0.42000000000000004,0.048,10.6879,,,,,,,,
3782,0.27,0.09,16.3731,,,,,,,,
5407,0.43000000000000005,0.108,18.1631,,,,,,,,
5515,0.44000000000000006,0.122,19.8773,,,,,,,,
5838,0.4700000000000001,0.162,23.0485,,,,,,,,
5625,0.45000000000000007,0.14,21.5263,,,,,,,,
9295,0.8200000000000001,0.006,8.6425,,,,,,,,
9192,0.81,0.002,11.1307,,,,,,,,
9716,0.86,0.04,-0.0424,,,,,,,,
8921,0.78,0.066,12.9015,,,,,,,,
8184,0.7100000000000001,0.006,18.9467,,,,,,,,
405,-0.060000000000000005,0.002,16.4531,,,,,,,,
9464,0.8300000000000001,0.14200000000000002,15.5321,,,,,,,,
9206,0.81,0.03,10.5461,,,,,,,,
101,-0.09000000000000001,0.0,16.2457,,,,,,,,
10155,0.9,0.11,-12.8263,,,,,,,,
3132,0.21,0.002,19.5822,,,,,,,,
9538,0.8400000000000001,0.088,12.3357,,,,,,,,
3637,0.26,0.002,15.2278,,,,,,,,
10181,0.9,0.162,-7.7397,,,,,,,,
3641,0.26,0.01,15.2455,,,,,,,,
10006,0.89,0.014,-15.7164,,,,,,,,
915,-0.010000000000000009,0.012,14.9246,,,,,,,,
815,-0.020000000000000004,0.014,15.2198,,,,,,,,
9564,0.8400000000000001,0.14,16.7618,,,,,,,,
9463,0.8300000000000001,0.14,15.4768,,,,,,,,
9470,0.8300000000000001,0.154,17.6245,,,,,,,,
9565,0.8400000000000001,0.14200000000000002,16.7995,,,,,,,,
9466,0.8300000000000001,0.146,16.4236,,,,,,,,
9468,0.8300000000000001,0.15,16.4863,,,,,,,,
289,-0.08,0.17400000000000002,22.7152,,,,,,,,
487,-0.060000000000000005,0.166,21.7064,,,,,,,,
587,-0.05,0.164,21.2489,,,,,,,,
9337,0.8200000000000001,0.09,11.3624,,,,,,,,
9997,0.88,0.198,6.0991,,,,,,,,
9600,0.8500000000000001,0.01,1.883,,,,,,,,
9559,0.8400000000000001,0.13,16.4677,,,,,,,,
9500,0.8400000000000001,0.012,3.8078,,,,,,,,
9302,0.8200000000000001,0.02,7.6261,,,,,,,,
9461,0.8300000000000001,0.136,15.3676,,,,,,,,
9393,0.8300000000000001,0.0,5.292,,,,,,,,
6125,0.5,0.13,20.9816,,,,,,,,
123,-0.09000000000000001,0.044,16.7029,,,,,,,,
9,-0.1,0.018000000000000002,16.0502,,,,,,,,
121,-0.09000000000000001,0.04,16.624,,,,,,,,
17,-0.1,0.034,16.2644,,,,,,,,
8484,0.74,0.0,16.4794,,,,,,,,
4,-0.1,0.008,15.9829,,,,,,,,
117,-0.09000000000000001,0.032,16.4885,,,,,,,,
9621,0.8500000000000001,0.052000000000000005,4.9771,,,,,,,,
30,-0.1,0.06,16.886,,,,,,,,
28,-0.1,0.056,16.7691,,,,,,,,
9608,0.8500000000000001,0.026000000000000002,1.6374,,,,,,,,
