,epsilon,a3,Barrier,Sh.Cor,Eldm,dU(N),dU(P),dP(N),dP(P),BC,BS
10260,0.456,0.2,24.0693,4.5176,19.552,2.685,3.257,-0.548,-0.876,0.957,1.1
10248,0.344,0.155,19.9427,3.6317,16.311,2.484,2.571,-0.855,-0.568,0.974,1.068
10209,-0.1,0.178,23.145,4.4412,18.704,3.112,2.835,-0.592,-0.913,0.989,1.048
10268,0.567,0.155,20.4495,2.4442,18.005,0.342,2.34,0.051,-0.289,0.938,1.128
10281,0.789,0.0,14.3494,2.888,11.461,5.792,-0.727,-2.439,0.261,0.866,1.233
10287,0.789,0.133,14.7606,0.582,14.179,-2.119,2.538,0.609,-0.446,0.866,1.237
10252,0.456,0.022,10.3892,-3.3965,13.786,-2.491,-2.347,0.776,0.666,0.964,1.08
10221,0.122,0.0,18.7541,8.0834,10.671,5.886,5.442,-1.805,-1.44,0.993,1.028
10253,0.456,0.044,11.8516,-2.1611,14.013,-1.519,-1.874,0.53,0.702,0.963,1.081
10219,0.011,0.178,19.9589,2.9621,16.997,2.315,0.644,-0.443,0.447,0.99,1.044
10239,0.233,0.178,18.8724,2.1948,16.678,1.708,1.548,-0.788,-0.274,0.983,1.055
10243,0.344,0.044,9.8407,-2.9583,12.799,-1.797,-2.053,0.278,0.614,0.978,1.056
10222,0.122,0.022,18.6277,7.864,10.764,5.744,5.265,-1.765,-1.38,0.993,1.028
10229,0.122,0.178,17.7095,1.2786,16.431,0.882,0.408,-0.101,0.089,0.988,1.046
10262,0.567,0.022,15.6479,1.0346,14.613,1.804,-0.179,-0.462,-0.128,0.942,1.117
10294,0.9,0.067,-18.4615,-0.7343,-17.727,-0.394,-0.747,0.201,0.206,0.808,1.276
10208,-0.1,0.155,21.6249,4.5346,17.09,3.033,3.274,-0.585,-1.186,0.99,1.044
10202,-0.1,0.022,16.0938,4.318,11.776,2.54,2.672,-0.302,-0.591,0.994,1.028
10266,0.567,0.111,17.7886,1.4497,16.339,0.548,1.22,-0.28,-0.038,0.94,1.122
9791,0.86,0.19,10.7376,,,,,,,,
9711,0.86,0.03,2.4184,,,,,,,,
9979,0.88,0.162,1.4553,,,,,,,,
9650,0.8500000000000001,0.11,11.3504,,,,,,,,
9229,0.81,0.076,11.0873,,,,,,,,
10001,0.89,0.004,-16.9781,,,,,,,,
9946,0.88,0.096,-1.5891,,,,,,,,
9520,0.8400000000000001,0.052000000000000005,7.4139,,,,,,,,
9543,0.8400000000000001,0.098,10.7368,,,,,,,,
10134,0.9,0.068,-19.3956,,,,,,,,
10169,0.9,0.138,-13.6189,,,,,,,,
10152,0.9,0.10400000000000001,-15.6409,,,,,,,,
9347,0.8200000000000001,0.11,11.7295,,,,,,,,
9784,0.86,0.176,10.3588,,,,,,,,
9935,0.88,0.074,-3.4592,,,,,,,,
9528,0.8400000000000001,0.068,9.1012,,,,,,,,
10149,0.9,0.098,-15.9646,,,,,,,,
9628,0.8500000000000001,0.066,6.8134,,,,,,,,
10188,0.9,0.176,-12.3063,,,,,,,,
10032,0.89,0.066,-13.4279,,,,,,,,
9454,0.8300000000000001,0.122,12.5698,,,,,,,,
9410,0.8300000000000001,0.034,8.2366,,,,,,,,
4041,0.30000000000000004,0.002,11.1971,,,,,,,,
4242,0.31999999999999995,0.0,9.7661,,,,,,,,
10178,0.9,0.156,-12.1745,,,,,,,,
10020,0.89,0.042,-15.3385,,,,,,,,
4854,0.38,0.012,7.795,,,,,,,,
9751,0.86,0.11,8.0073,,,,,,,,
10107,0.9,0.014,-21.0365,,,,,,,,
9425,0.8300000000000001,0.064,9.3354,,,,,,,,
9617,0.8500000000000001,0.044,5.3038,,,,,,,,
10120,0.9,0.04,-19.9281,,,,,,,,
1521,0.04999999999999999,0.012,13.5104,,,,,,,,
10057,0.89,0.116,-9.8962,,,,,,,,
9701,0.86,0.01,2.0743,,,,,,,,
10121,0.9,0.042,-19.7619,,,,,,,,
9697,0.86,0.002,2.1234,,,,,,,,
1616,0.06,0.0,13.7708,,,,,,,,
10138,0.9,0.076,-19.0074,,,,,,,,
1420,0.04000000000000001,0.012,13.3131,,,,,,,,
9970,0.88,0.14400000000000002,1.1997,,,,,,,,
2436,0.13999999999999999,0.024,16.6927,,,,,,,,
10145,0.9,0.09,-17.5571,,,,,,,,
9933,0.88,0.07,-3.7578,,,,,,,,
9806,0.87,0.018000000000000002,-1.505,,,,,,,,
10078,0.89,0.158,-7.418,,,,,,,,
9725,0.86,0.058,3.3467,,,,,,,,
10158,0.9,0.116,-14.7752,,,,,,,,
9816,0.87,0.038,-0.4755,,,,,,,,
10018,0.89,0.038,-15.9288,,,,,,,,
10059,0.89,0.12,-9.7474,,,,,,,,
10023,0.89,0.048,-14.7985,,,,,,,,
9897,0.87,0.2,7.4606,,,,,,,,
4682,0.36,0.07200000000000001,12.1053,,,,,,,,
9991,0.88,0.186,2.654,,,,,,,,
9715,0.86,0.038,2.9772,,,,,,,,
9997,0.88,0.198,2.9419,,,,,,,,
9880,0.87,0.166,6.6229,,,,,,,,
9892,0.87,0.19,6.9342,,,,,,,,
10150,0.9,0.1,-15.8675,,,,,,,,
4465,0.33999999999999997,0.042,9.9742,,,,,,,,
9705,0.86,0.018000000000000002,2.0934,,,,,,,,
9878,0.87,0.162,6.6977,,,,,,,,
9823,0.87,0.052000000000000005,0.4607,,,,,,,,
9799,0.87,0.004,-1.6821,,,,,,,,
9716,0.86,0.04,2.9478,,,,,,,,
10093,0.89,0.188,-5.9608,,,,,,,,
9803,0.87,0.012,-1.7744,,,,,,,,
10024,0.89,0.05,-14.6432,,,,,,,,
9499,0.8400000000000001,0.01,6.9903,,,,,,,,
10147,0.9,0.094,-17.0725,,,,,,,,
9917,0.88,0.038,-6.3169,,,,,,,,
10115,0.9,0.03,-20.1577,,,,,,,,
9947,0.88,0.098,-1.4661,,,,,,,,
9706,0.86,0.02,2.1499,,,,,,,,
10008,0.89,0.018000000000000002,-17.2762,,,,,,,,
10055,0.89,0.112,-10.9462,,,,,,,,
9937,0.88,0.078,-2.6353,,,,,,,,
9967,0.88,0.138,1.1116,,,,,,,,
9954,0.88,0.112,-0.5084,,,,,,,,
10035,0.89,0.07200000000000001,-13.1342,,,,,,,,
9962,0.88,0.128,0.7175,,,,,,,,
9939,0.88,0.082,-2.3454,,,,,,,,
10092,0.89,0.186,-6.0664,,,,,,,,
10087,0.89,0.176,-6.5515,,,,,,,,
9893,0.87,0.192,6.9879,,,,,,,,
10064,0.89,0.13,-8.6394,,,,,,,,
9924,0.88,0.052000000000000005,-5.0798,,,,,,,,
10013,0.89,0.028,-16.5416,,,,,,,,
9910,0.88,0.024,-7.1141,,,,,,,,
9964,0.88,0.132,0.9017,,,,,,,,
10007,0.89,0.016,-17.365,,,,,,,,
9734,0.86,0.076,4.6194,,,,,,,,
10048,0.89,0.098,-11.6086,,,,,,,,
9801,0.87,0.008,-1.888,,,,,,,,
9405,0.8300000000000001,0.024,8.1655,,,,,,,,
9808,0.87,0.022,-1.2131,,,,,,,,
10056,0.89,0.114,-10.005,,,,,,,,
9888,0.87,0.182,6.7491,,,,,,,,
9733,0.86,0.074,4.4295,,,,,,,,
9900,0.88,0.004,-8.0001,,,,,,,,
9601,0.8500000000000001,0.012,5.0945,,,,,,,,
9497,0.8400000000000001,0.006,7.0073,,,,,,,,
9798,0.87,0.002,-1.8046,,,,,,,,
10052,0.89,0.106,-11.2112,,,,,,,,
9602,0.8500000000000001,0.014,5.0329,,,,,,,,
9842,0.87,0.09,3.8125,,,,,,,,
9866,0.87,0.138,6.5563,,,,,,,,
9777,0.86,0.162,10.1432,,,,,,,,
9794,0.86,0.196,10.7009,,,,,,,,
9961,0.88,0.126,0.618,,,,,,,,
9977,0.88,0.158,1.4391,,,,,,,,
9881,0.87,0.168,6.6242,,,,,,,,
9944,0.88,0.092,-1.7205,,,,,,,,
9965,0.88,0.134,0.9827,,,,,,,,
9985,0.88,0.17400000000000002,2.1031,,,,,,,,
9899,0.88,0.002,-8.19,,,,,,,,
10022,0.89,0.046,-15.0503,,,,,,,,
9928,0.88,0.06,-4.6162,,,,,,,,
9929,0.88,0.062,-4.4939,,,,,,,,
10014,0.89,0.03,-16.4343,,,,,,,,
10004,0.89,0.01,-16.8323,,,,,,,,
9800,0.87,0.006,-1.9268,,,,,,,,
9931,0.88,0.066,-4.0561,,,,,,,,
10006,0.89,0.014,-16.7739,,,,,,,,
9953,0.88,0.11,-0.8606,,,,,,,,
9814,0.87,0.034,-0.692,,,,,,,,
10028,0.89,0.058,-13.992,,,,,,,,
10025,0.89,0.052000000000000005,-14.4859,,,,,,,,
9950,0.88,0.10400000000000001,-1.0642,,,,,,,,
9949,0.88,0.10200000000000001,-1.1767,,,,,,,,
9925,0.88,0.054,-4.8743,,,,,,,,
9906,0.88,0.016,-7.3791,,,,,,,,
9698,0.86,0.004,1.9046,,,,,,,,
9699,0.86,0.006,1.9407,,,,,,,,
9804,0.87,0.014,-1.7005,,,,,,,,
10011,0.89,0.024,-16.6458,,,,,,,,
9901,0.88,0.006,-7.971,,,,,,,,
9904,0.88,0.012,-7.5698,,,,,,,,
10043,0.89,0.088,-12.4605,,,,,,,,
2223,0.12,0.002,16.0444,,,,,,,,
2424,0.13999999999999999,0.0,16.8375,,,,,,,,
2324,0.13,0.002,16.4462,,,,,,,,
2222,0.12,0.0,16.0451,,,,,,,,
2323,0.13,0.0,16.4468,,,,,,,,
2121,0.10999999999999999,0.0,15.6404,,,,,,,,
9966,0.88,0.136,1.0558,,,,,,,,
9902,0.88,0.008,-7.9313,,,,,,,,
9903,0.88,0.01,-7.8822,,,,,,,,
9981,0.88,0.166,1.471,,,,,,,,
9974,0.88,0.152,1.2632,,,,,,,,
9911,0.88,0.026000000000000002,-7.0131,,,,,,,,
10186,0.9,0.17200000000000001,-11.2116,,,,,,,,
10081,0.89,0.164,-7.265,,,,,,,,
10050,0.89,0.10200000000000001,-11.4052,,,,,,,,
9989,0.88,0.182,2.1969,,,,,,,,
9983,0.88,0.17,1.9514,,,,,,,,
9988,0.88,0.18,2.1698,,,,,,,,
9987,0.88,0.178,2.1436,,,,,,,,
9993,0.88,0.19,2.6153,,,,,,,,
9984,0.88,0.17200000000000001,2.0874,,,,,,,,
9986,0.88,0.176,2.1218,,,,,,,,
9995,0.88,0.194,2.768,,,,,,,,
9994,0.88,0.192,2.6897,,,,,,,,
9982,0.88,0.168,1.8078,,,,,,,,
10200,0.9,0.2,-11.5556,,,,,,,,
10098,0.89,0.198,-5.6992,,,,,,,,
10212,0.011,0.022,14.6275,3.8314,10.796,1.811,2.276,0.118,-0.373,0.995,1.025
10213,0.011,0.044,14.8058,3.7051,11.101,1.733,2.183,0.141,-0.351,0.995,1.026
10250,0.344,0.2,21.6706,2.9763,18.694,1.327,2.135,-0.054,-0.432,0.972,1.076
10207,-0.1,0.133,20.2294,4.5554,15.674,2.891,3.692,-0.531,-1.496,0.991,1.04
10246,0.344,0.111,15.9086,1.447,14.462,0.402,1.034,0.115,-0.104,0.976,1.061
10279,0.678,0.178,18.1837,-0.4592,18.643,-0.542,0.467,-0.418,0.033,0.907,1.178
10254,0.456,0.067,14.035,-0.3545,14.39,-0.233,-1.008,0.203,0.684,0.963,1.083
10211,0.011,0.0,14.5727,3.8783,10.694,1.843,2.312,0.107,-0.383,0.995,1.025
10285,0.789,0.089,12.8565,0.1593,12.697,-0.752,1.131,-0.155,-0.065,0.866,1.235
10280,0.678,0.2,19.6346,-0.1209,19.755,-0.419,0.265,-0.011,0.043,0.907,1.181
10290,0.789,0.2,18.0944,0.8218,17.273,-0.246,0.644,0.381,0.042,0.866,1.242
10236,0.233,0.111,18.164,4.6845,13.479,3.142,3.095,-0.842,-0.711,0.986,1.045
10206,-0.1,0.111,18.9961,4.5322,14.464,2.573,3.532,-0.285,-1.287,0.992,1.036
10215,0.011,0.089,15.6773,3.3674,12.31,1.638,1.975,0.121,-0.367,0.994,1.03
10225,0.122,0.089,17.3387,5.1892,12.15,3.611,3.036,-0.918,-0.54,0.992,1.033
10269,0.567,0.178,21.6732,2.6555,19.018,0.713,2.363,0.011,-0.432,0.937,1.131
10293,0.9,0.044,-20.3241,-1.9627,-18.361,-1.517,-1.046,0.061,0.539,0.808,1.276
10233,0.233,0.044,17.9678,6.2721,11.696,3.817,4.149,-0.828,-0.866,0.988,1.039
9813,0.87,0.032,-0.5403,,,,,,,,
9233,0.81,0.084,11.1463,,,,,,,,
