,epsilon,a3,Barrier,Sh.Cor,Eldm,dU(N),dU(P),dP(N),dP(P),BC,BS
10243,0.344,0.044,9.8407,-2.9583,12.799,-1.797,-2.053,0.278,0.614,0.978,1.056
10237,0.233,0.133,18.32,3.9241,14.396,2.832,2.762,-0.94,-0.73,0.985,1.048
10299,0.9,0.178,-7.3794,3.9378,-11.317,1.197,3.964,-0.596,-0.627,0.814,1.278
10239,0.233,0.178,18.8724,2.1948,16.678,1.708,1.548,-0.788,-0.274,0.983,1.055
10265,0.567,0.089,16.7519,1.053,15.699,0.896,0.751,-0.463,-0.13,0.941,1.12
10261,0.567,0.0,15.7239,1.1838,14.54,2.485,-0.465,-0.863,0.027,0.942,1.116
10242,0.344,0.022,8.78,-3.7774,12.557,-1.98,-2.721,0.138,0.785,0.978,1.055
10296,0.9,0.111,-12.6788,3.0797,-15.758,3.766,1.057,-1.714,-0.029,0.81,1.277
10232,0.233,0.022,17.9562,6.5188,11.437,3.655,4.328,-0.584,-0.88,0.988,1.038
10221,0.122,0.0,18.7541,8.0834,10.671,5.886,5.442,-1.805,-1.44,0.993,1.028
10218,0.011,0.155,18.6048,3.0468,15.558,2.214,0.981,-0.396,0.248,0.991,1.039
10233,0.233,0.044,17.9678,6.2721,11.696,3.817,4.149,-0.828,-0.866,0.988,1.039
10219,0.011,0.178,19.9589,2.9621,16.997,2.315,0.644,-0.443,0.447,0.99,1.044
10240,0.233,0.2,19.3726,1.3452,18.027,0.922,0.957,-0.473,-0.06,0.981,1.06
10249,0.344,0.178,21.0971,3.6575,17.44,2.078,2.915,-0.434,-0.901,0.973,1.072
10209,-0.1,0.178,23.145,4.4412,18.704,3.112,2.835,-0.592,-0.913,0.989,1.048
10227,0.122,0.133,16.8634,2.9013,13.962,1.893,1.353,-0.322,-0.023,0.99,1.038
10241,0.344,0.0,8.4075,-4.0692,12.477,-1.953,-2.954,0.006,0.831,0.979,1.055
10204,-0.1,0.067,17.0953,4.4169,12.678,2.4,3.114,-0.174,-0.923,0.994,1.031
10280,0.678,0.2,19.6346,-0.1209,19.755,-0.419,0.265,-0.011,0.043,0.907,1.181
10284,0.789,0.067,12.0302,-0.1317,12.162,-0.188,-0.137,0.04,0.154,0.866,1.234
10287,0.789,0.133,14.7606,0.582,14.179,-2.119,2.538,0.609,-0.446,0.866,1.237
10289,0.789,0.178,17.4776,1.3361,16.141,-0.875,2.142,0.347,-0.277,0.866,1.24
10201,-0.1,0.0,15.9663,4.3037,11.663,2.576,2.62,-0.334,-0.559,0.994,1.028
10267,0.567,0.133,19.2522,2.1424,17.11,0.519,1.907,-0.187,-0.097,0.939,1.125
10256,0.456,0.111,19.0631,3.4834,15.58,1.634,2.027,0.136,-0.313,0.962,1.087
10269,0.567,0.178,21.6732,2.6555,19.018,0.713,2.363,0.011,-0.432,0.937,1.131
10211,0.011,0.0,14.5727,3.8783,10.694,1.843,2.312,0.107,-0.383,0.995,1.025
10294,0.9,0.067,-18.4615,-0.7343,-17.727,-0.394,-0.747,0.201,0.206,0.808,1.276
10273,0.678,0.044,16.8132,2.3667,14.446,1.475,1.249,-0.157,-0.2,0.91,1.167
10235,0.233,0.089,18.0644,5.3439,12.72,3.507,3.601,-0.887,-0.878,0.987,1.042
10255,0.456,0.089,16.5882,1.6752,14.913,0.557,0.301,0.368,0.45,0.962,1.084
10274,0.678,0.067,15.3873,0.5743,14.813,-0.029,0.451,0.082,0.07,0.91,1.168
10216,0.011,0.111,16.4364,3.2286,13.208,1.733,1.839,0.012,-0.355,0.993,1.032
