,epsilon,a3,Barrier,Sh.Cor,Eldm,dU(N),dU(P),dP(N),dP(P),BC,BS
8567,0.74,0.166,16.142,,,,,,,,
9772,0.86,0.152,13.5157,,,,,,,,
9201,0.81,0.02,10.8195,,,,,,,,
8184,0.7100000000000001,0.006,18.9467,,,,,,,,
4648,0.36,0.004,7.9677,,,,,,,,
9952,0.88,0.108,2.0753,,,,,,,,
9241,0.81,0.1,13.1719,,,,,,,,
10172,0.9,0.14400000000000002,-8.2329,,,,,,,,
10126,0.9,0.052000000000000005,-19.8867,,,,,,,,
9496,0.8400000000000001,0.004,3.8273,,,,,,,,
9835,0.87,0.076,3.3449,,,,,,,,
10033,0.89,0.068,-13.5595,,,,,,,,
9906,0.88,0.016,-6.3562,,,,,,,,
6007,0.49,0.096,18.0472,,,,,,,,
8917,0.78,0.058,12.3006,,,,,,,,
9320,0.8200000000000001,0.056,8.9439,,,,,,,,
4446,0.33999999999999997,0.004,8.5817,,,,,,,,
9899,0.88,0.002,-6.5279,,,,,,,,
10092,0.89,0.186,-2.914,,,,,,,,
5561,0.45000000000000007,0.012,9.8015,,,,,,,,
9670,0.8500000000000001,0.15,16.0449,,,,,,,,
112,-0.09000000000000001,0.022,16.3607,,,,,,,,
9864,0.87,0.134,9.3913,,,,,,,,
4282,0.31999999999999995,0.08,13.1928,,,,,,,,
3336,0.23,0.006,18.2417,,,,,,,,
2325,0.13,0.004,19.0648,,,,,,,,
2726,0.16,0.2,18.6857,,,,,,,,
4900,0.38,0.10400000000000001,15.8428,,,,,,,,
1724,0.07,0.014,16.0516,,,,,,,,
9514,0.8400000000000001,0.04,5.1417,,,,,,,,
107,-0.09000000000000001,0.012,16.28,,,,,,,,
3338,0.23,0.01,18.2403,,,,,,,,
10197,0.9,0.194,-7.3688,,,,,,,,
7845,0.67,0.136,16.3631,,,,,,,,
601,-0.05,0.192,23.2001,,,,,,,,
7555,0.64,0.162,18.4619,,,,,,,,
5150,0.4,0.2,23.009,,,,,,,,
9975,0.88,0.154,5.2642,,,,,,,,
9711,0.86,0.03,-0.9314,,,,,,,,
289,-0.08,0.17400000000000002,22.7152,,,,,,,,
7436,0.63,0.126,16.4889,,,,,,,,
9815,0.87,0.036000000000000004,-1.762,,,,,,,,
3482,0.24000000000000002,0.096,17.8786,,,,,,,,
10097,0.89,0.196,-2.7112,,,,,,,,
9442,0.8300000000000001,0.098,12.3892,,,,,,,,
1812,0.07,0.19,19.074,,,,,,,,
9583,0.8400000000000001,0.178,17.331,,,,,,,,
2620,0.15,0.19,18.2453,,,,,,,,
9302,0.8200000000000001,0.02,7.6261,,,,,,,,
4373,0.32999999999999996,0.06,11.294,,,,,,,,
1519,0.04999999999999999,0.008,15.1772,,,,,,,,
9985,0.88,0.17400000000000002,5.2188,,,,,,,,
9846,0.87,0.098,6.6608,,,,,,,,
9626,0.8500000000000001,0.062,5.9065,,,,,,,,
2745,0.17,0.036000000000000004,19.7662,,,,,,,,
9974,0.88,0.152,5.3257,,,,,,,,
1459,0.04000000000000001,0.09,15.6069,,,,,,,,
2737,0.17,0.02,20.0014,,,,,,,,
2435,0.13999999999999999,0.022,19.2818,,,,,,,,
5633,0.45000000000000007,0.156,22.5383,,,,,,,,
5659,0.4600000000000001,0.006,10.1133,,,,,,,,
5638,0.45000000000000007,0.166,23.0508,,,,,,,,
9561,0.8400000000000001,0.134,16.5998,,,,,,,,
9956,0.88,0.116,2.7957,,,,,,,,
6174,0.51,0.026000000000000002,13.3539,,,,,,,,
10150,0.9,0.1,-15.0596,,,,,,,,
9343,0.8200000000000001,0.10200000000000001,13.1678,,,,,,,,
3570,0.25,0.07,16.9791,,,,,,,,
3367,0.23,0.068,18.1856,,,,,,,,
9489,0.8300000000000001,0.192,18.0775,,,,,,,,
9820,0.87,0.046,-0.765,,,,,,,,
251,-0.08,0.098,18.4439,,,,,,,,
9291,0.81,0.2,17.7992,,,,,,,,
10169,0.9,0.138,-8.3133,,,,,,,,
9831,0.87,0.068,1.968,,,,,,,,
9108,0.8,0.036000000000000004,11.4949,,,,,,,,
5068,0.4,0.036000000000000004,9.0877,,,,,,,,
9843,0.87,0.092,5.9775,,,,,,,,
10066,0.89,0.134,-4.418,,,,,,,,
9808,0.87,0.022,-2.7503,,,,,,,,
9999,0.89,0.0,-15.7965,,,,,,,,
9983,0.88,0.17,5.2139,,,,,,,,
10069,0.89,0.14,-4.0789,,,,,,,,
9834,0.87,0.074,3.0967,,,,,,,,
10103,0.9,0.006,-21.503,,,,,,,,
9968,0.88,0.14,4.0263,,,,,,,,
9803,0.87,0.012,-3.0867,,,,,,,,
10086,0.89,0.17400000000000002,-3.1768,,,,,,,,
9504,0.8400000000000001,0.02,3.8205,,,,,,,,
10015,0.89,0.032,-15.3624,,,,,,,,
9934,0.88,0.07200000000000001,-2.5249,,,,,,,,
9840,0.87,0.08600000000000001,5.2361,,,,,,,,
10051,0.89,0.10400000000000001,-8.1313,,,,,,,,
10140,0.9,0.08,-17.0323,,,,,,,,
10012,0.89,0.026000000000000002,-15.672,,,,,,,,
9606,0.8500000000000001,0.022,1.5313,,,,,,,,
9704,0.86,0.016,-1.8423,,,,,,,,
10157,0.9,0.114,-12.411,,,,,,,,
6306,0.52,0.088,17.4914,,,,,,,,
9987,0.88,0.178,5.4562,,,,,,,,
9909,0.88,0.022,-6.2266,,,,,,,,
10162,0.9,0.124,-9.0057,,,,,,,,
9779,0.86,0.166,13.4137,,,,,,,,
9931,0.88,0.066,-3.2942,,,,,,,,
9745,0.86,0.098,9.8915,,,,,,,,
9871,0.87,0.148,9.356,,,,,,,,
10076,0.89,0.154,-3.636,,,,,,,,
9753,0.86,0.114,11.7031,,,,,,,,
10121,0.9,0.042,-20.5076,,,,,,,,
