 ******************************************************************************
 * SHELL MODEL - DEFORMED WOODS-SAXON POTENTIAL:  NUCLEUS Z= 92 N=144 A=236   *
 * CENTRAL POTENTIAL-DEPTH VO = -45.9 DIFUSSENESS A=  0.630 RADIUS RO=   7.66 *
 * SPIN-ORBIT POTEN.-DEPTH VSO = 17.5 DIFUSSENESS A=  0.630 RADIUS RV=   7.66 *
 ******************************************************************************
 Eldm- Pashkevich 

 EPS= 0.000 a1= 0.000 a3=-0.200 a4=-0.160 a5= 0.000 a6= 0.000 Gn*A=22.5 Gz*A=26.5
 VAR:    T         F         T         F         F         F
 P(1)  P(2)   Barrier  Sh.Cor   Eldm   dU(N)   dU(P)   dP(N)   dP(P)   BC   BS
 0.010 -.110  16.4183  3.2480 13.170   1.737   1.881   0.017  -0.387 0.993  1.032
 0.010 -.100  16.0514  3.3052 12.746   1.682   1.942   0.074  -0.393 0.994  1.031
 0.010 -.090  15.7296  3.3699 12.360   1.654   1.965   0.113  -0.362 0.994  1.030
 0.010 -.080  15.4550  3.4415 12.014   1.649   2.001   0.135  -0.343 0.994  1.029
 0.010 -.070  15.2247  3.5177 11.707   1.663   2.046   0.145  -0.336 0.995  1.028
 0.010 -.060  15.0358  3.5952 11.441   1.691   2.096   0.144  -0.336 0.995  1.027
 0.010 -.050  14.8850  3.6704 11.215   1.727   2.148   0.137  -0.343 0.995  1.026
 0.010 -.040  14.7684  3.7392 11.029   1.766   2.199   0.127  -0.353 0.995  1.026
 0.010 -.030  14.6828  3.7980 10.885   1.804   2.243   0.115  -0.364 0.995  1.025
 0.010 -.020  14.6244  3.8428 10.782   1.834   2.277   0.105  -0.373 0.995  1.025
 0.010 -.010  14.5904  3.8708 10.720   1.853   2.299   0.099  -0.380 0.995  1.025
 0.010 0.000  14.5792  3.8803 10.699   1.860   2.306   0.096  -0.382 0.995  1.025
 0.010 0.010  14.5904  3.8708 10.720   1.853   2.299   0.099  -0.380 0.995  1.025
 0.010 0.020  14.6244  3.8428 10.782   1.834   2.277   0.105  -0.373 0.995  1.025
 0.010 0.030  14.6826  3.7980 10.885   1.804   2.243   0.115  -0.364 0.995  1.025
 0.010 0.040  14.7683  3.7392 11.029   1.766   2.199   0.127  -0.353 0.995  1.026
 0.010 0.050  14.8849  3.6704 11.214   1.727   2.148   0.137  -0.343 0.995  1.026
 0.010 0.060  15.0357  3.5952 11.441   1.691   2.096   0.144  -0.336 0.995  1.027
 0.010 0.070  15.2246  3.5177 11.707   1.663   2.046   0.145  -0.336 0.995  1.028
 0.010 0.080  15.4549  3.4415 12.013   1.649   2.001   0.135  -0.343 0.994  1.029
 0.010 0.090  15.7296  3.3699 12.360   1.654   1.965   0.113  -0.362 0.994  1.030
 0.010 0.100  16.0514  3.3052 12.746   1.682   1.942   0.074  -0.393 0.994  1.031
 0.010 0.110  16.4183  3.2480 13.170   1.737   1.881   0.017  -0.387 0.993  1.032
 0.010 0.120  16.8313  3.1987 13.633   1.822   1.667  -0.063  -0.228 0.993  1.034
 0.010 0.130  17.2881  3.1565 14.132   1.938   1.463  -0.166  -0.079 0.992  1.035
 0.010 0.140  17.7890  3.1196 14.669   2.085   1.272  -0.293   0.056 0.992  1.037
 0.010 0.150  18.3285  3.0857 15.243   2.228   1.093  -0.413   0.178 0.992  1.038
 0.010 0.160  18.9040  3.0522 15.852   2.244   0.928  -0.404   0.284 0.991  1.040
 0.010 0.170  19.5122  3.0164 16.496   2.285   0.775  -0.420   0.376 0.990  1.042
 0.010 0.180  20.1497  2.9764 17.173   2.350   0.635  -0.462   0.454 0.990  1.044
 0.010 0.190  20.8143  2.9297 17.885   2.435   0.505  -0.529   0.518 0.989  1.046
 0.010 0.200  21.5025  2.8739 18.629   2.539   0.386  -0.621   0.569 0.989  1.049
 0.020 -.200  21.1489  2.6281 18.521   2.439   0.163  -0.626   0.653 0.989  1.049
 0.020 -.190  20.4805  2.6969 17.784   2.328   0.293  -0.523   0.599 0.989  1.046
 0.020 -.180  19.8377  2.7592 17.079   2.233   0.434  -0.443   0.535 0.990  1.044
 0.020 -.170  19.2218  2.8151 16.407   2.158   0.586  -0.387   0.458 0.990  1.042
 0.020 -.160  18.6361  2.8670 15.769   2.107   0.748  -0.357   0.370 0.991  1.040
 0.020 -.150  18.0827  2.9173 15.165   2.080   0.921  -0.352   0.268 0.991  1.038
 0.020 -.140  17.5649  2.9678 14.597   2.051   1.105  -0.343   0.154 0.992  1.037
 0.020 -.130  17.0863  3.0213 14.065   1.892   1.300  -0.199   0.027 0.992  1.035
 0.020 -.120  16.6485  3.0801 13.568   1.766   1.506  -0.082  -0.111 0.993  1.034
 0.020 -.110  16.2571  3.1460 13.111   1.673   1.721   0.010  -0.259 0.993  1.032
 0.020 -.100  15.9106  3.2200 12.691   1.611   1.943   0.080  -0.413 0.994  1.031
 0.020 -.090  15.6101  3.3015 12.309   1.577   2.059   0.129  -0.463 0.994  1.030
 0.020 -.080  15.3529  3.3886 11.964   1.566   2.095   0.161  -0.433 0.994  1.029
 0.020 -.070  15.1403  3.4798 11.660   1.575   2.140   0.179  -0.415 0.995  1.028
 0.020 -.060  14.9680  3.5717 11.396   1.599   2.191   0.187  -0.405 0.995  1.027
 0.020 -.050  14.8325  3.6603 11.172   1.632   2.243   0.187  -0.402 0.995  1.026
 0.020 -.040  14.7294  3.7410 10.988   1.668   2.293   0.182  -0.403 0.995  1.026
 0.020 -.030  14.6547  3.8094 10.845   1.703   2.337   0.176  -0.407 0.995  1.025
 0.020 -.020  14.6044  3.8615 10.743   1.731   2.372   0.170  -0.411 0.995  1.025
 0.020 -.010  14.5753  3.8939 10.681   1.750   2.394   0.165  -0.415 0.995  1.025
 0.020 0.000  14.5658  3.9049 10.661   1.756   2.401   0.164  -0.416 0.995  1.025
 0.020 0.010  14.5753  3.8939 10.681   1.750   2.394   0.165  -0.415 0.995  1.025
 0.020 0.020  14.6043  3.8615 10.743   1.731   2.372   0.170  -0.411 0.995  1.025
 0.020 0.030  14.6546  3.8094 10.845   1.703   2.337   0.176  -0.407 0.995  1.025
 0.020 0.040  14.7293  3.7410 10.988   1.668   2.293   0.182  -0.403 0.995  1.026
 0.020 0.050  14.8324  3.6603 11.172   1.632   2.243   0.187  -0.402 0.995  1.026
 0.020 0.060  14.9679  3.5717 11.396   1.599   2.191   0.187  -0.405 0.995  1.027
 0.020 0.070  15.1402  3.4798 11.660   1.575   2.140   0.179  -0.415 0.995  1.028
 0.020 0.080  15.3528  3.3886 11.964   1.566   2.095   0.161  -0.433 0.994  1.029
 0.020 0.090  15.6101  3.3015 12.309   1.577   2.059   0.129  -0.463 0.994  1.030
 0.020 0.100  15.9106  3.2200 12.691   1.611   1.943   0.080  -0.413 0.994  1.031
 0.020 0.110  16.2571  3.1460 13.111   1.673   1.721   0.010  -0.259 0.993  1.032
 0.020 0.120  16.6485  3.0801 13.568   1.766   1.506  -0.082  -0.111 0.993  1.034
 0.020 0.130  17.0863  3.0213 14.065   1.892   1.300  -0.199   0.027 0.992  1.035
 0.020 0.140  17.5649  2.9678 14.597   2.051   1.105  -0.343   0.154 0.992  1.037
 0.020 0.150  18.0827  2.9173 15.165   2.080   0.921  -0.352   0.268 0.991  1.038
 0.020 0.160  18.6361  2.8670 15.769   2.107   0.748  -0.357   0.370 0.991  1.040
 0.020 0.170  19.2218  2.8151 16.407   2.158   0.586  -0.387   0.458 0.990  1.042
 0.020 0.180  19.8377  2.7592 17.079   2.233   0.434  -0.443   0.535 0.990  1.044
 0.020 0.190  20.4805  2.6969 17.784   2.328   0.293  -0.523   0.599 0.989  1.046
 0.020 0.200  21.1489  2.6281 18.521   2.439   0.163  -0.626   0.653 0.989  1.049
 0.030 -.200  20.8127  2.3904 18.422   2.401  -0.023  -0.694   0.706 0.988  1.049
 0.030 -.190  20.1667  2.4750 17.692   2.302   0.120  -0.597   0.651 0.989  1.046
 0.030 -.180  19.5484  2.5555 16.993   2.202   0.274  -0.506   0.585 0.990  1.044
 0.030 -.170  18.9595  2.6327 16.327   2.120   0.438  -0.434   0.509 0.990  1.042
 0.030 -.160  18.4020  2.7071 15.695   2.059   0.612  -0.387   0.423 0.991  1.040
 0.030 -.150  17.8768  2.7803 15.097   2.024   0.795  -0.365   0.326 0.991  1.038
 0.030 -.140  17.3876  2.8544 14.533   2.017   0.989  -0.368   0.217 0.992  1.037
 0.030 -.130  16.9370  2.9315 14.005   1.939   1.191  -0.297   0.098 0.992  1.035
 0.030 -.120  16.5280  3.0137 13.514   1.809   1.403  -0.167  -0.031 0.993  1.034
 0.030 -.110  16.1615  3.1027 13.059   1.711   1.623  -0.063  -0.168 0.993  1.032
 0.030 -.100  15.8426  3.1996 12.643   1.646   1.847   0.017  -0.311 0.994  1.031
 0.030 -.090  15.5677  3.3035 12.264   1.608   2.076   0.077  -0.458 0.994  1.030
 0.030 -.080  15.3360  3.4132 11.923   1.595   2.271   0.120  -0.572 0.994  1.029
 0.030 -.070  15.1474  3.5258 11.622   1.602   2.320   0.147  -0.544 0.994  1.028
 0.030 -.060  14.9971  3.6375 11.360   1.624   2.374   0.164  -0.525 0.995  1.027
 0.030 -.050  14.8813  3.7439 11.137   1.656   2.430   0.171  -0.513 0.995  1.026
 0.030 -.040  14.7952  3.8401 10.955   1.691   2.483   0.173  -0.507 0.995  1.026
 0.030 -.030  14.7329  3.9196 10.813   1.724   2.530   0.171  -0.505 0.995  1.025
 0.030 -.020  14.6916  3.9798 10.712   1.751   2.566   0.168  -0.506 0.995  1.025
 0.030 -.010  14.6685  4.0177 10.651   1.769   2.589   0.166  -0.506 0.995  1.025
 0.030 0.000  14.6610  4.0306 10.630   1.776   2.597   0.165  -0.507 0.995  1.025
 0.030 0.010  14.6683  4.0177 10.651   1.769   2.589   0.166  -0.506 0.995  1.025
 0.030 0.020  14.6914  3.9798 10.712   1.751   2.566   0.168  -0.506 0.995  1.025
 0.030 0.030  14.7328  3.9196 10.813   1.724   2.530   0.171  -0.505 0.995  1.025
 0.030 0.040  14.7951  3.8401 10.955   1.691   2.483   0.173  -0.507 0.995  1.026
 0.030 0.050  14.8812  3.7439 11.137   1.656   2.430   0.171  -0.513 0.995  1.026
 0.030 0.060  14.9970  3.6375 11.360   1.624   2.374   0.164  -0.525 0.995  1.027
 0.030 0.070  15.1473  3.5258 11.621   1.602   2.320   0.147  -0.544 0.994  1.028
 0.030 0.080  15.3359  3.4132 11.923   1.595   2.271   0.120  -0.572 0.994  1.029
 0.030 0.090  15.5677  3.3035 12.264   1.608   2.076   0.077  -0.458 0.994  1.030
 0.030 0.100  15.8426  3.1996 12.643   1.646   1.847   0.017  -0.311 0.994  1.031
 0.030 0.110  16.1615  3.1027 13.059   1.711   1.623  -0.063  -0.168 0.993  1.032
 0.030 0.120  16.5280  3.0137 13.514   1.809   1.403  -0.167  -0.031 0.993  1.034
 0.030 0.130  16.9370  2.9315 14.005   1.939   1.191  -0.297   0.098 0.992  1.035
 0.030 0.140  17.3876  2.8544 14.533   2.017   0.989  -0.368   0.217 0.992  1.037
 0.030 0.150  17.8768  2.7803 15.097   2.024   0.795  -0.365   0.326 0.991  1.038
 0.030 0.160  18.4020  2.7071 15.695   2.059   0.612  -0.387   0.423 0.991  1.040
 0.030 0.170  18.9595  2.6327 16.327   2.120   0.438  -0.434   0.509 0.990  1.042
 0.030 0.180  19.5484  2.5555 16.993   2.202   0.274  -0.506   0.585 0.990  1.044
 0.030 0.190  20.1667  2.4750 17.692   2.302   0.120  -0.597   0.651 0.989  1.046
 0.030 0.200  20.8127  2.3904 18.422   2.401  -0.023  -0.694   0.706 0.988  1.049
 0.040 -.200  20.4897  2.1568 18.333   2.265  -0.176  -0.669   0.736 0.988  1.049
 0.040 -.190  19.8691  2.2605 17.609   2.245  -0.021  -0.641   0.678 0.989  1.046
 0.040 -.180  19.2799  2.3639 16.916   2.246   0.147  -0.639   0.610 0.990  1.044
 0.040 -.170  18.7222  2.4666 16.256   2.172   0.326  -0.564   0.532 0.990  1.042
 0.040 -.160  18.1982  2.5691 15.629   2.104   0.515  -0.495   0.446 0.991  1.040
 0.040 -.150  17.7078  2.6719 15.036   2.061   0.713  -0.452   0.350 0.991  1.038
 0.040 -.140  17.2543  2.7770 14.477   2.046   0.919  -0.434   0.245 0.992  1.037
 0.040 -.130  16.8394  2.8854 13.954   2.063   1.134  -0.443   0.132 0.992  1.035
 0.040 -.120  16.4661  2.9991 13.467   1.956   1.356  -0.323   0.011 0.993  1.034
 0.040 -.110  16.1362  3.1197 13.016   1.858   1.585  -0.205  -0.117 0.993  1.032
 0.040 -.100  15.8485  3.2464 12.602   1.791   1.818  -0.112  -0.250 0.993  1.031
 0.040 -.090  15.6069  3.3795 12.227   1.753   2.052  -0.040  -0.385 0.994  1.030
 0.040 -.080  15.4067  3.5167 11.890   1.740   2.285   0.013  -0.520 0.994  1.029
 0.040 -.070  15.2455  3.6554 11.590   1.747   2.510   0.050  -0.651 0.994  1.028
 0.040 -.060  15.1212  3.7908 11.330   1.769   2.645   0.074  -0.698 0.995  1.027
 0.040 -.050  15.0287  3.9188 11.110   1.801   2.708   0.089  -0.678 0.995  1.026
 0.040 -.040  14.9619  4.0326 10.929   1.836   2.767   0.097  -0.667 0.995  1.026
 0.040 -.030  14.9161  4.1275 10.789   1.869   2.818   0.101  -0.660 0.995  1.026
