 ******************************************************************************
 * SHELL MODEL - DEFORMED WOODS-SAXON POTENTIAL:  NUCLEUS Z= 92 N=144 A=236   *
 * CENTRAL POTENTIAL-DEPTH VO = -45.9 DIFUSSENESS A=  0.630 RADIUS RO=   7.66 *
 * SPIN-ORBIT POTEN.-DEPTH VSO = 17.5 DIFUSSENESS A=  0.630 RADIUS RV=   7.66 *
 ******************************************************************************
 Eldm- Pashkevich 

 EPS=-0.100 a1= 0.000 a3= 0.000 a4=-0.160 a5= 0.000 a6= 0.000 Gn*A=22.5 Gz*A=26.5
 VAR:    T         F         T         F         F         F
 P(1)  P(2)   Barrier  Sh.Cor   Eldm   dU(N)   dU(P)   dP(N)   dP(P)   BC   BS
 -.090 0.040  16.6240  4.7306 11.893   2.956   3.080  -0.504  -0.802 0.994  1.029
 -.090 0.045  16.7238  4.7341 11.990   2.933   3.128  -0.484  -0.842 0.994  1.029
 -.090 0.050  16.8341  4.7368 12.097   2.909   3.181  -0.466  -0.888 0.994  1.029
 -.090 0.055  16.9561  4.7401 12.216   2.889   3.241  -0.449  -0.940 0.994  1.030
 -.090 0.060  17.0891  4.7431 12.346   2.870   3.306  -0.435  -0.998 0.994  1.030
 -.090 0.065  17.2329  4.7458 12.487   2.855   3.376  -0.424  -1.062 0.994  1.030
 -.090 0.070  17.3873  4.7480 12.639   2.844   3.422  -0.416  -1.102 0.994  1.031
 -.090 0.075  17.5524  4.7499 12.803   2.837   3.424  -0.411  -1.100 0.994  1.031
 -.090 0.080  17.7278  4.7512 12.977   2.835   3.431  -0.411  -1.104 0.993  1.032
 -.090 0.085  17.9140  4.7519 13.162   2.838   3.443  -0.415  -1.114 0.993  1.032
 -.090 0.090  18.1103  4.7520 13.358   2.848   3.460  -0.424  -1.131 0.993  1.033
 -.090 0.095  18.3166  4.7513 13.565   2.864   3.480  -0.439  -1.154 0.993  1.033
 -.090 0.100  18.5335  4.7506 13.783   2.887   3.505  -0.459  -1.182 0.993  1.034
 -.090 0.105  18.7606  4.7492 14.011   2.918   3.532  -0.485  -1.216 0.993  1.035
 -.090 0.110  18.9977  4.7471 14.251   2.956   3.563  -0.518  -1.254 0.992  1.035
 -.090 0.115  19.2453  4.7450 14.500   3.003   3.597  -0.557  -1.298 0.992  1.036
 -.090 0.120  19.5027  4.7421 14.761   3.058   3.632  -0.602  -1.345 0.992  1.037
 -.090 0.125  19.7702  4.7389 15.031   3.121   3.601  -0.655  -1.328 0.992  1.038
 -.090 0.130  20.0475  4.7351 15.312   3.194   3.570  -0.716  -1.313 0.992  1.038
 -.090 0.135  20.3333  4.7294 15.604   3.275   3.547  -0.785  -1.308 0.991  1.039
 -.090 0.140  20.6281  4.7226 15.905   3.365   3.532  -0.862  -1.313 0.991  1.040
 -.090 0.145  20.9318  4.7145 16.217   3.393   3.526  -0.875  -1.329 0.991  1.041
 -.090 0.150  21.2440  4.7049 16.539   3.415   3.527  -0.883  -1.355 0.991  1.042
 -.090 0.155  21.5642  4.6932 16.871   3.447   3.537  -0.900  -1.391 0.990  1.043
 -.090 0.160  21.8915  4.6788 17.213   3.483   3.526  -0.921  -1.409 0.990  1.044
 -.090 0.165  22.2255  4.6612 17.564   3.489   3.419  -0.913  -1.334 0.990  1.045
 -.090 0.170  22.5808  4.6390 17.942   3.499   3.315  -0.912  -1.264 0.990  1.046
 -.090 0.175  22.9087  4.6125 18.296   3.514   3.213  -0.915  -1.199 0.989  1.047
 -.090 0.180  23.2580  4.5815 18.677   3.532   3.115  -0.925  -1.140 0.989  1.048
 -.090 0.185  23.6118  4.5455 19.066   3.552   3.020  -0.939  -1.087 0.989  1.049
 -.090 0.190  23.9696  4.5041 19.465   3.573   2.929  -0.957  -1.041 0.988  1.051
 -.090 0.195  24.3314  4.4572 19.874   3.595   2.842  -0.979  -1.001 0.988  1.052
 -.090 0.200  24.6963  4.4046 20.292   3.616   2.760  -1.005  -0.966 0.988  1.053
 -.080 0.000  16.4519  5.0449 11.407   3.256   3.291  -0.588  -0.914 0.995  1.027
 -.080 0.005  16.4575  5.0448 11.413   3.256   3.293  -0.588  -0.916 0.995  1.027
 -.080 0.010  16.4734  5.0439 11.430   3.254   3.301  -0.588  -0.923 0.995  1.027
 -.080 0.015  16.5000  5.0423 11.458   3.252   3.314  -0.589  -0.935 0.995  1.027
 -.080 0.020  16.5371  5.0401 11.497   3.250   3.333  -0.590  -0.952 0.995  1.027
 -.080 0.025  16.5848  5.0371 11.548   3.247   3.357  -0.592  -0.975 0.995  1.027
 -.080 0.030  16.6423  5.0330 11.609   3.244   3.387  -0.595  -1.003 0.995  1.028
 -.080 0.035  16.7109  5.0285 11.682   3.241   3.423  -0.599  -1.036 0.995  1.028
 -.080 0.040  16.7896  5.0230 11.767   3.239   3.463  -0.604  -1.075 0.994  1.028
 -.080 0.045  16.8787  5.0168 11.862   3.238   3.480  -0.611  -1.091 0.994  1.028
 -.080 0.050  16.9779  5.0096 11.968   3.239   3.472  -0.620  -1.081 0.994  1.029
 -.080 0.055  17.0871  5.0012 12.086   3.241   3.467  -0.631  -1.075 0.994  1.029
 -.080 0.060  17.2066  4.9921 12.214   3.246   3.465  -0.645  -1.074 0.994  1.029
 -.080 0.065  17.3360  4.9819 12.354   3.253   3.467  -0.662  -1.077 0.994  1.030
 -.080 0.070  17.4753  4.9707 12.505   3.264   3.474  -0.682  -1.086 0.994  1.030
 -.080 0.075  17.6247  4.9585 12.666   3.280   3.484  -0.705  -1.100 0.994  1.031
 -.080 0.080  17.7843  4.9457 12.839   3.299   3.499  -0.733  -1.119 0.994  1.031
 -.080 0.085  17.9539  4.9321 13.022   3.324   3.481  -0.765  -1.108 0.993  1.032
 -.080 0.090  18.1339  4.9181 13.216   3.343   3.456  -0.790  -1.091 0.993  1.032
 -.080 0.095  18.3244  4.9038 13.421   3.350   3.439  -0.803  -1.083 0.993  1.033
 -.080 0.100  18.5257  4.8896 13.636   3.365   3.430  -0.822  -1.084 0.993  1.033
 -.080 0.105  18.7382  4.8758 13.862   3.324   3.429  -0.783  -1.094 0.993  1.034
 -.080 0.110  18.9612  4.8622 14.099   3.284   3.436  -0.744  -1.114 0.993  1.035
 -.080 0.115  19.1953  4.8493 14.346   3.252   3.445  -0.711  -1.137 0.992  1.036
 -.080 0.120  19.4405  4.8370 14.603   3.228   3.400  -0.685  -1.106 0.992  1.036
 -.080 0.125  19.6967  4.8254 14.871   3.212   3.362  -0.665  -1.084 0.992  1.037
 -.080 0.130  19.9638  4.8144 15.149   3.205   3.332  -0.652  -1.071 0.992  1.038
 -.080 0.135  20.2416  4.8041 15.438   3.207   3.309  -0.646  -1.066 0.992  1.039
 -.080 0.140  20.5297  4.7938 15.736   3.218   3.294  -0.648  -1.070 0.991  1.040
 -.080 0.145  20.8280  4.7837 16.044   3.237   3.287  -0.657  -1.083 0.991  1.040
 -.080 0.150  21.1347  4.7722 16.363   3.266   3.287  -0.674  -1.106 0.991  1.041
 -.080 0.155  21.4500  4.7593 16.691   3.302   3.294  -0.700  -1.137 0.991  1.042
 -.080 0.160  21.7736  4.7450 17.029   3.347   3.308  -0.734  -1.176 0.990  1.043
 -.080 0.165  22.1046  4.7284 17.376   3.398   3.328  -0.775  -1.223 0.990  1.044
 -.080 0.170  22.4418  4.7084 17.733   3.457   3.353  -0.823  -1.279 0.990  1.045
 -.080 0.175  22.7841  4.6840 18.100   3.522   3.339  -0.880  -1.297 0.989  1.046
 -.080 0.180  23.1311  4.6550 18.476   3.592   3.210  -0.943  -1.204 0.989  1.048
 -.080 0.185  23.4824  4.6212 18.861   3.667   3.084  -1.014  -1.116 0.989  1.049
 -.080 0.190  23.8376  4.5819 19.256   3.676   2.958  -1.021  -1.031 0.989  1.050
 -.080 0.195  24.1960  4.5367 19.659   3.614   2.832  -0.961  -0.948 0.988  1.051
 -.080 0.200  24.5573  4.4851 20.072   3.553   2.704  -0.906  -0.867 0.988  1.052
 -.070 0.000  16.5327  5.2392 11.294   3.539   3.557  -0.744  -1.113 0.995  1.027
 -.070 0.005  16.5372  5.2382 11.299   3.539   3.556  -0.745  -1.112 0.995  1.027
 -.070 0.010  16.5506  5.2349 11.316   3.537   3.553  -0.746  -1.110 0.995  1.027
 -.070 0.015  16.5737  5.2302 11.344   3.536   3.551  -0.748  -1.108 0.995  1.027
 -.070 0.020  16.6063  5.2238 11.382   3.533   3.547  -0.752  -1.106 0.995  1.027
 -.070 0.025  16.6479  5.2153 11.433   3.531   3.544  -0.756  -1.104 0.995  1.027
 -.070 0.030  16.6987  5.2050 11.494   3.529   3.541  -0.762  -1.102 0.995  1.027
 -.070 0.035  16.7587  5.1927 11.566   3.526   3.539  -0.769  -1.103 0.995  1.027
 -.070 0.040  16.8278  5.1785 11.649   3.525   3.523  -0.778  -1.090 0.995  1.028
 -.070 0.045  16.9063  5.1626 11.744   3.523   3.484  -0.789  -1.055 0.995  1.028
 -.070 0.050  16.9939  5.1449 11.849   3.524   3.444  -0.802  -1.021 0.994  1.028
 -.070 0.055  17.0909  5.1255 11.965   3.526   3.405  -0.818  -0.987 0.994  1.029
 -.070 0.060  17.1971  5.1044 12.093   3.530   3.368  -0.836  -0.957 0.994  1.029
 -.070 0.065  17.3131  5.0822 12.231   3.536   3.333  -0.856  -0.930 0.994  1.029
 -.070 0.070  17.4386  5.0587 12.380   3.501   3.301  -0.836  -0.907 0.994  1.030
 -.070 0.075  17.5740  5.0343 12.540   3.440   3.273  -0.789  -0.890 0.994  1.030
 -.070 0.080  17.7196  5.0092 12.710   3.381   3.250  -0.744  -0.879 0.994  1.031
 -.070 0.085  17.8754  4.9837 12.892   3.327   3.233  -0.702  -0.874 0.994  1.031
 -.070 0.090  18.0423  4.9586 13.084   3.276   3.222  -0.664  -0.876 0.994  1.032
 -.070 0.095  18.2196  4.9333 13.286   3.231   3.217  -0.629  -0.886 0.993  1.032
 -.070 0.100  18.4086  4.9090 13.500   3.190   3.220  -0.598  -0.903 0.993  1.033
 -.070 0.105  18.6089  4.8856 13.723   3.156   3.229  -0.572  -0.928 0.993  1.034
 -.070 0.110  18.8208  4.8635 13.957   3.129   3.246  -0.550  -0.961 0.993  1.034
 -.070 0.115  19.0449  4.8431 14.202   3.108   3.212  -0.534  -0.943 0.993  1.035
 -.070 0.120  19.2806  4.8241 14.457   3.094   3.170  -0.523  -0.918 0.992  1.036
 -.070 0.125  19.5286  4.8071 14.721   3.088   3.135  -0.517  -0.900 0.992  1.037
 -.070 0.130  19.7883  4.7917 14.997   3.090   3.107  -0.517  -0.889 0.992  1.037
 -.070 0.135  20.0601  4.7779 15.282   3.100   3.087  -0.523  -0.886 0.992  1.038
